部分,考试类型,问题类型,问答对,筛选后三元组
研考成考,成人高考,结果篇,问：对于研究生考试成绩不认可，怎么申请复核？答：考生可在规定时间登录上海市教育考试院“上海招考热线”网站（www.shmeea.edu.cn），点击进入首页“成绩查询”栏目，进行全国统考科目初试成绩复核网上申请（不接受现场申请）。自命题科目成绩复核在各招生单位进行，复核的具体办法请咨询各招生单位或查看相关单位研究生招生主页。注：2023年硕士研究生招生考试成绩复核时间是在2023年2月22日9:00至2月23日16:00进行。,"['(上海教育考试院, 运营, 上海市教育考试院报名网站)', '(上海市教育考试院报名网站, 包含, 成绩查询栏目)', '(成绩查询栏目, 用于, 全国统考科目初试成绩复核申请)', '(自命题科目成绩复核, 处理单位, 招生单位)', '(研究生考试成绩不认可, 需通过, 申请复核)', '(成绩复核, 包含, 全国统考科目初试成绩复核)', '(硕士研究生招生考试成绩复核, 包含, 自命题科目成绩复核)']"
研考成考,成人高考,结果篇,问：研究生考试成绩复核什么时候可以申请？答：考生可以关注“上海招考热线”网站（www.shmeea.edu.cn）—首页—研考成考—研究生招生考试栏目发布的“20XX年全国硕士研究生招生考试成绩即将公布”内的信息。注：2023年研究生考试成绩复核时间是在2023年2月22日9:00至2月23日16:00进行。,"['(研考成考, 包含子栏目, 研究生招生考试栏目)', '(研究生招生考试栏目, 发布, 20XX年全国硕士研究生招生考试成绩即将公布)']"
研考成考,成人高考,结果篇,问：研究生考试往年的成绩能通过考试院查询吗？答：考生仅能在规定时间查询当年考试成绩，历年考试成绩查询请咨询招生单位。,"['(当年考试成绩, 查询渠道, 教育考试院)', '(历年考试成绩, 需咨询, 招生单位)', '(往年成绩, 等同于, 历年考试成绩)']"
研考成考,成人高考,结果篇,问：没有参加考试，可以退还报考费吗？答：报名成功且通过网上确认审核、但最后未能参加考试的考生，其报考费将不予退还。取消报考信息、重复缴费、未进行网上确认或未通过网上确认审核的考生，其报名信息无效，由“研招网”统一进行退费处理。退费款项一律原路退回考生缴费时所用的支付账户，考生不要急于在缴费后立即注销支付账户，须确保在报名结束后保持原交费时使用的银行卡或支付宝账户的有效状态，以便顺利完成退费。退费如有问题可在“研招网”用户中心“咨询客服”处详询。,"['(取消报考信息, 导致, 报名信息无效)', '(重复缴费, 导致, 报名信息无效)', '(未进行网上确认, 导致, 报名信息无效)', '(未通过网上确认审核, 导致, 报名信息无效)', '(报名信息无效, 导致, 研招网统一退费处理)', '(研招网, 执行, 退费处理)', '(退费款项, 原路退回至, 支付账户)', '(支付账户, 包含的支付方式, 支付宝账户)', '(退费问题, 可咨询, 研招网用户中心咨询客服)', '(咨询客服, 位于, 研招网用户中心)']"
研考成考,成人高考,结果篇,问：怎样开具研究生报名发票？答：电脑端：“一网通办”（http://zwdt.sh.gov.cn/govportals/index.do）进入“我的主页”/“我的支付”/“财政电子票据”进行操作；手机端：“随申办小程序或APP”进入“我的”/“更多功能”/“我的票据”进行操作。,[]
研考成考,成人高考,报名篇,问：什么是成人高校招生考试？答：成人高等教育属国民教育系列，列入国家招生计划，国家承认学历。成人高等学历教育分为:专科起点升本科（简称“专升本”）、高中起点升本科（简称“高起本”）、高中起点升高职（专科）（简称“高起专”）。同时，普通高职（专科）毕业生服义务兵役退役和“下基层”服务期满后将免试接受成人本科教育的招生。成人高校招生考试的报考对象为国家承认学历的各类高、中等学校在校生以外的在职从业人员和社会其他人员报考高中起点升本科或专科的考生应具有高中毕业文化程度或同等学力文化程度。报考专科起点升本科的考生必须是已取得经教育部审定核准的国民教育系列高等学校、高等教育自学考试机构颁发的专科及以上毕业证书的人员。承担成人高等教育的院校分为普通高校和独立设置的成人高校，学习形式包括函授班（自学为主，面授为辅）、业余班（一般利用晚上和周末时间学习）等，大多数以业余学习为主。学生毕业后可获得国家承认的本、专科学历文凭。全国成人高校统一招生考试一般安排在10月份。具体事项请关注“上海招考热线”网站 （www.shmeea.edu.cn）相关内容。,"['(成人高等学历教育, 属于, 成人高等教育)', '(成人高等学历教育, 包含, 专科起点升本科)', '(成人高等学历教育, 分为, 高起本)', '(成人高等学历教育, 分为, 高起专)', '(免试接受成人本科教育, 适用条件, 服义务兵役退役或下基层服务期满)', '(成人高校招生考试, 报考对象, 在职从业人员和社会其他人员)', '(成人高校招生考试, 报考对象, 在职从业人员和社会其他人员)', '(高中起点升本科或专科, 报考条件, 高中毕业文化程度或同等学力文化程度)', '(报考高中起点升本科或专科的考生, 报考条件, 高中毕业文化程度或同等学力文化程度)', '(专科起点升本科, 报考条件, 经教育部审定的专科及以上毕业证书)', '(成人高等教育, 院校类型, 普通高校)', '(成人高等教育, 学习形式, 函授班)', '(成人高等教育, 学习形式, 业余班)', '(业余班, 学习时间, 晚上和周末)', '(成人高校招生考试, 考试时间, 10月份)']"
研考成考,成人高考,报名篇,问：成人高考属于国家高考吗？答：成人高考属于国家教育考试。,"['(成人高校招生考试, 属于, 国家教育考试)']"
研考成考,成人高考,报名篇,问：成人高考和自考有什么区别？答：成人高考跟自考的区别主要有：（1）学习形式不同。成人高考学习形式有脱产、业余和函授。自考的学习形式为业余自主学习；（2）考试时间不同。成人高考一般每年一次，于10月考试；成人自考一般每年两次，于4月和10月考试；（3）证书不同，成人高考毕业领取成人高等教育毕业证书，自考毕业领取高等教育自学考试毕业证书。,"['(报名篇, 属于, 成人高校招生考试)', '(成人高校招生考试, 学习形式, 脱产)', '(成人高校招生考试, 学习形式, 函授)', '(自考, 学习形式, 业余自主学习)', '(成人高校招生考试, 考试时间, 每年10月)', '(自考, 考试时间, 4月和10月)', '(成人高校招生考试, 毕业颁发, 成人高等教育毕业证书)', '(自考, 毕业证书, 高等教育自学考试毕业证书)']"
研考成考,成人高考,报名篇,"问：在上海参加成人高考报名条件是什么？有户籍或学历要求吗？答：（以当年公布的文件为准）2023年报名条件是：（1）遵守中华人民共和国宪法和法律；（2）国家承认学历的各类高、中等学校在校生以外的从业人员和社会其他人员；（3）身体健康，生活能自理，不影响所报专业学习；（4）报考高起本或高起专的考生必须是高级中等教育学校毕业或者具有同等学力。报考专升本的考生必须是已取得经教育部审定核准的国民教育系列高等学校、高等教育自学考试机构颁发的专科毕业证书、本科结业证书或以上证书的人员；（5）2024年春季本市成人高校毕业生（须提交就读学校证明）；（6）本市常住户口、在本市工作的非本市常住户口人员；（7）报考医学门类专业的考生应具备以下条件：①报考临床医学、口腔医学、预防医学、中医学等临床类专业的人员，应当取得省级卫生行政部门颁发的相应类别的执业助理医师及以上资格证书，或取得国家认可的普通中专相应专业学历，或者区县级及以上卫生行政部门颁发的乡村医生执业证书并具有中专学历或中专水平证书；②报考护理学专业的人员应当取得省级卫生行政部门颁发的执业护士证书；③报考医学门类其他专业的人员应当是从事卫生、医药行业工作的在职专业技术人员；④考生报考的专业,原则上应与所从事的专业对口。","['(上海, 报名地点, 成人高校招生考试)', '(报名条件, 包含, 户籍要求)', '(报名条件, 包含, 学历要求)', '(高起本, 报考条件, 高级中等教育学校毕业或具有同等学力)', '(高起本或高起专, 报考条件, 高级中等教育学校毕业或具有同等学力)', '(高起专, 报考条件, 高级中等教育学校毕业或具有同等学力)', '(高起专, 需要, 同等学力)', '(高等教育自学考试机构, 颁发, 专科毕业证书)', '(教育部, 审定核准, 国民教育系列高等学校)', '(临床类专业, 包括, 口腔医学)', '(医学门类专业, 包括, 预防医学)', '(医学门类专业, 包括, 中医学)', '(临床医学, 报考条件, 省级卫生行政部门颁发的执业助理医师及以上资格证书)', '(临床医学, 报考条件, 普通中专相应专业学历)', '(护理学专业, 需要取得, 执业护士证书)', '(区县级及以上卫生行政部门, 颁发, 乡村医生执业证书)']"
研考成考,成人高考,报名篇,问：上海有哪些成人高考招生院校？开设哪些专业？答：招生院校和招生专业请查看“上海招考热线”网站（www.shmeea.edu.cn）首页—研考成考—成人高校招生考试栏目发布的“20XX年上海市成人高校招生专业目录”。注：2023年高起本：https://www.shmeea.edu.cn/download/20230829/201.pdf；2023年高起专：https://www.shmeea.edu.cn/download/20230829/202.pdf；2023年专升本：https://www.shmeea.edu.cn/download/20230829/203.pdf,[]
研考成考,成人高考,报名篇,问：成人高考招生院校地址和电话联系方式？答：考生可查看“上海招考热线”网站（www.shmeea.edu.cn）首页—研考成考—成人高校招生考试栏目发布的“20XX年上海市成人高校招生考试报名公告 ”附件《20XX年上海市成人高校招生考试报名咨询电话一览表》,"['(20XX年上海市成人高校招生考试报名公告, 包含, 20XX年上海市成人高校招生考试报名咨询电话一览表)', '(研考成考, 包含, 成人高校招生考试)', '(成人高校招生考试, 包含, 报名篇)']"
研考成考,成人高考,报名篇,问：成人高考报名一般安排在什么时间？答：考生可查看“上海招考热线”网站（www.shmeea.edu.cn）首页—研考成考—成人高校招生考试栏目发布的“20XX年上海市成人高校招生考试报名公告 ”注：2023年成人高考报名时间9月2日至9月6日每天9:00至22:00、9月7日9:00至12:00。,"['(上海招考热线网站, 包含栏目, 研考成考)', '(研考成考, 包含子栏目, 成人高校招生考试栏目)', '(成人高校招生考试栏目, 发布, 20XX年上海市成人高校招生考试报名公告)', '(成人高校招生考试, 属于, 研考成考)', '(报名篇, 属于, 成人高校招生考试)']"
研考成考,成人高考,报名篇,问：成人高考报名通过什么方式报名？答：考生在规定时间登录“上海招考热线”网站（www.shmeea.edu.cn），点击首页“考试报名”栏目进入“2023年上海市成人高校招生考试报名”页面，按系统说明在网上填写基本信息，填报“意向志愿”和签署《2023年上海市成人高校招生考试网上报名协议条款》《上海市考生诚信考试承诺书》，报考专升本的考生须签署《专升本考生告知书》《专升本考生承诺书》，非本市常住户口的考生还须签署《非本市户籍考生承诺书》，并按要求上传所需报名材料。申请政策照顾性加分或免试的考生须上传相应照顾类型或免试的证明材料和本人身份证件。凡报考艺术类专业，必须为第一志愿，否则该志愿无效。,"['(上海市教育考试院报名网站, 包含栏目, 考试报名)', '(考试报名栏目, 进入, 2023年上海市成人高校招生考试报名页面)', '(考生, 签署, 2023年上海市成人高校招生考试网上报名协议条款)', '(考生, 签署, 上海市考生诚信考试承诺书)', '(专升本考生告知书, 需签署, 专升本考生承诺书)', '(非本市户籍考生承诺书, 签署者, 非本市户籍考生)', '(政策性照顾加分, 申请需上传, 相关证明材料)', '(申请免试的考生, 需上传, 免试证明材料)', '(申请免试的考生, 需上传, 证明材料及身份证件)', '(艺术类专业, 必须为, 第一志愿)']"
研考成考,成人高考,报名篇,问：报名后收到审核不通过的短信，是否要重新报名？答：考生提交材料由第一志愿院校进行审核，考生在此期间需实时关注资格审核情况，若审核不通过，须按院校要求重新网上提交材料并等待再次审核。注：2023年成人高考审核时间是在9月2日至9月9日。,"['(报名篇, 属于, 成人高校招生考试)', '(考生提交材料, 审核方, 第一志愿院校)', '(考生, 关注, 资格审核情况)', '(审核不通过, 需要, 重新网上提交材料)', '(2023年成人高考审核时间, 时间范围, 9月2日至9月9日)']"
研考成考,成人高考,报名篇,问：收到第一志愿的院校通知，让我携带材料去现场进行材料比对，成考报名必须要现场提交材料？答：报名期间网上提交过报考信息的考生，若人证比对不通过，则需至报考的第一志愿院校进行复核，逾期不再办理。注：2023年成人高考现场人证比对时间是在9月8日至9月9日每天8:30-16:30。,"['(报名篇, 属于, 成人高校招生考试)', '(考生, 提交, 报考信息)', '(复核, 负责机构, 第一志愿院校)']"
研考成考,成人高考,报名篇,问：成人高考什么时候缴费？在哪里缴费？答：网上报名信息提交成功并通过审核的考生于规定时间，登录“上海招考热线”网站（www.shmeea.edu.cn）进行缴费，若未按时完成缴费则报名无效。注：2023年成人高考缴费时间是在9月11日至9月12日每天 9:00-22:00。,"['(报名篇, 属于, 成人高校招生考试)', '(问答对, 属于, 成人高考报名篇)', '(考生, 通过, 审核)', '(考生, 登录, 上海市教育考试院报名网站)']"
研考成考,成人高考,报名篇,问：成人高考有补报名吗？答：没有补报名。,[]
研考成考,成人高考,考试篇,问：成人高考教材和考纲信息从哪里获取？答：考生可查看教育部教育考试院（原教育部考试中心）“中国教育考试网”（www.neea.edu.cn）—考试项目—成人高考—发布的《全国各类成人高等学校招生复习考试大纲（2020年版）》，如有更新以最新版为准。,"['(教育考试院, 原名, 教育部考试中心)', '(中国教育考试网, 隶属于, 教育考试院)']"
研考成考,成人高考,考试篇,问：成人高考的考试时间？答：考试时间由国家统一安排，一般在每年10月。以下是2023年成考时间：起点：高中，日期：10月21日，时间：9:00-11:00，语文,[]
研考成考,成人高考,考试篇,问：成人高考的考试时间？答：考试时间由国家统一安排，一般在每年10月。以下是2023年成考时间：起点：高中，日期：10月21日，时间：14:30-16:30，数学（文科）数学（理科）,
研考成考,成人高考,考试篇,问：成人高考的考试时间？答：考试时间由国家统一安排，一般在每年10月。以下是2023年成考时间：起点：高中，日期：10月22日，时间：9:00-11:00，外语,
研考成考,成人高考,考试篇,问：成人高考的考试时间？答：考试时间由国家统一安排，一般在每年10月。以下是2023年成考时间：起点：高中，日期：10月22日，时间：14:30-16:30，史地（高起本文科）理化（高起本理科）,
研考成考,成人高考,考试篇,问：成人高考的考试时间？答：考试时间由国家统一安排，一般在每年10月。以下是2023年成考时间：起点：专科，日期：10月21日，时间：9:00-11:30，政治,
研考成考,成人高考,考试篇,问：成人高考的考试时间？答：考试时间由国家统一安排，一般在每年10月。以下是2023年成考时间：起点：专科，日期：10月21日，时间：14:30-17:00，外语,
研考成考,成人高考,考试篇,问：成人高考的考试时间？答：考试时间由国家统一安排，一般在每年10月。以下是2023年成考时间：起点：专科，日期：10月22日，时间：9:00-11:30，大学语文、艺术概论、高等数学（一）、高等数学（二）、民法、教育理论、生态学基础、医学综合（考生根据报考专业选择一门）,
研考成考,成人高考,考试篇,问：成人高考的考试科目？答：成考根据选择的学习层次和专业类分别有相关考试。（1）高起本统考科目理科类：语文、数学（理科）、外语、理化（物理、化学综合）。文科类：语文、数学（文科）、外语、史地（历史、地理综合）。（2）高起专统考科目理科类：语文、数学（理科）、外语。文科类：语文、数学（文科）、外语。外语设英语、日语两个语种，考生根据招生院校对语种的要求选择一种。艺术类、体育类专业招生必须进行专业加试，招生院校专业加试科目和考试时间必须在招生简章中注明并自行组织命题和考试。（3）专升本统考科目专升本统考科目为两门公共课和一门专业基础课，公共课科目为政治、外语。根据专业所隶属的学科门类共分为八个科类，公共课和专业基础课考试科目如下：①哲学、文学、历史学及中医、中药学类：政治、外语、大学语文。②艺术类：政治、外语、艺术概论。③工学、理学类：政治、外语、高等数学（一）。④经济学、管理学及药学类：政治、外语、高等数学（二）。⑤法学类：政治、外语、民法。⑥教育学：政治、外语、教育理论。⑦农学类：政治、外语、生态学基础。⑧医学类：政治、外语、医学综合。除统考科目外，是否再加试专业科目，由招生院校自行确定。如需加试专业科目，由招生院校提前向社会公布并自行组织命题和考试。注：以当年公布文件为准。,"['(高起本, 统考科目, 语文)', '(高起本, 统考科目, 外语)', '(高起专, 包含科目, 语文)', '(专升本, 公共课包含, 政治)', '(专升本, 包含科目, 外语)', '(外语, 设有语种, 日语)', '(艺术类, 必须进行, 专业加试)', '(体育类, 必须进行, 专业加试)', '(招生高校, 自行组织, 命题)', '(招生高校, 自行组织, 考试)']"
研考成考,成人高考,考试篇,问：各科目考试的分数？答：高起本、高起专统一考试科目每科满分为150分，考试时间为120分钟。专升本统一考试科目每科满分为150分，考试时间为150分钟。注：以当年公布文件为准。,"['(高起本, 每科满分, 150分)', '(高起本, 考试时间, 120分钟)', '(高起专, 每科满分, 150分)', '(高起专, 考试时间, 120分钟)', '(专升本, 每科满分, 150分)', '(专升本, 每科考试时间, 150分钟)', '(高起本, 依据, 当年公布文件)', '(专升本, 依据, 当年公布文件)']"
研考成考,成人高考,考试篇,问：成考有政策类照顾加分吗？答：有的。 （1）运动健将和武术项目武英级运动员称号获得者（须经省级体育行政部门审核并出具运动成绩证明），可以在考生考试成绩基础上增加 50 分投档，一级运动员称号获得者增加 30 分投档，是否录取由招生院校确定。（2）符合下列条件之一的考生，可以在考生考试成绩基础上增加 20 分投档，是否录取由招生院校确定。 ①获得地级以上（含）人民政府，国务院各部委及各省（区、市）厅、局系统，国家特大型企业授予的劳动模范、先进生产（工作）者及科技进步（成果）奖获得者。②获得省级工、青、妇等组织授予“五一劳动奖章”、“新长征突击手”、“三八红旗手”称号者。③解放军、武警部队、公安干警荣立个人三等功以上者。④归侨、归侨子女、华侨子女、台湾省籍考生。⑤烈士子女、烈士配偶。⑥国防科技工业三线企业单位（位于地级以上人民政府所在地的除外）获得企业表彰的先进生产（工作）者。⑦边疆、山区、牧区和少数民族聚居地区的少数民族考生。⑧年满 25 周岁以上人员。即1998 年 12 月 31 日以前出生（在报考时满足条件直接勾选即可）。（3）自主就业的退役士兵，可以在考生考试成绩基础上增加 10 分投档，是否录取由招生院校确定。符合两项以上照顾政策的考生，其照顾分数不得累计。注：以当年公布文件为准。,"['(运动健将和武英级运动员, 可增加投档分, 50分)', '(武术项目武英级运动员称号获得者, 可增加投档分, 50分)', '(一级运动员称号获得者, 增加投档分数, 30分)', '(地级以上人民政府授予的劳动模范, 符合加分条件, 20分投档)', '(省级工青妇组织授予的五一劳动奖章, 获得者可获加分, 20分投档)', '(新长征突击手, 投档可加分, 20分)', '(荣立个人三等功, 可获投档加分, 20分投档)', '(归侨子女, 可增加投档分, 20分)', '(华侨子女, 符合条件可增加投档分, 20分)', '(台湾省籍考生, 符合加分条件, 20分投档)', '(烈士子女, 符合政策类照顾加分条件, 增加20分投档)', '(烈士配偶, 符合政策照顾加分, 20分投档)', '(边疆山区牧区和少数民族聚居地区的少数民族考生, 增加投档加分, 20分)', '(年满25周岁以上人员, 符合政策可加分, 20分)', '(自主就业的退役士兵, 可增加投档分, 10分)', '(运动健将称号获得者, 需经审核, 省级体育行政部门)', '(国家特大型企业, 授予, 劳动模范)', '(照顾政策, 包含, 运动健将和武英级运动员的50分投档政策)', '(照顾政策, 适用对象, 自主就业的退役士兵可获10分投档)', '(加分20分的考生, 是否录取由, 招生高校)']"
研考成考,成人高考,考试篇,问：成人高考是否有免试入学？答：有的。满足以下条件可免试入学。（1）符合专升本报考条件的退役军人（自主就业退役士兵、自主择业军转干部、复员干部），凭身份证、退役证（义务兵/士官退出现役证、军官转业证书、军官复员证书）及符合相应的学历证书，可申请免试成人高校专升本。（2）获得“全国劳动模范”、“全国先进工作者”称号，“全国‘五一’劳动奖章”获得者，经本人申请并出具相关证书或证明，上海市教育考试院审核，招生院校同意，可免试入学。（3）奥运会、世界杯赛和世界锦标赛的奥运会项目前八名获得者、非奥运会项目前六名获得者；亚运会、亚洲杯赛和亚洲锦标赛的奥运会项目前六名获得者、非奥运会项目前三名获得者；全运会、全国锦标赛和全国冠军赛的奥运会项目前三名获得者、非奥运会项目冠军获得者。上述运动员经本人申请并出具省级体育行政部门审核的《优秀运动员申请免试进入成人高等学校学习推荐表》（国家体育总局监制），上海市教育考试院审核，招生学校同意，可免试入学。（4）参加“选聘高校毕业生到村任职”、“三支一扶（支教、支农、支医和扶贫）”、“大学生志愿服务西部计划”、“农村义务教育阶段学校教师特设岗位计划”等项目服务期满并考核合格的普通高职（专科）毕业生，凭身份证、普通高职（专科）毕业证、相关项目考核合格证，可申请免试成人高校专升本。注：以当年公布文件为准。,[]
研考成考,成人高考,考试篇,问：什么是单考？答：成人高校单考单招是由招生院校经审批进行的单独组织的文化考试（一般为体育类的高校，或者照顾类型的聋哑人群），按分数从高到低择优录取。,"['(单考, 全称, 成人高校单考单招)', '(成人高校单考单招, 组织者, 招生高校)', '(成人高校单考单招, 是, 单独组织的文化考试)', '(成人高校单考单招, 招生院校类型包括, 体育类高校)', '(成人高校单考单招, 适用对象, 聋哑人群)', '(成人高校单考单招, 录取方式, 按分数从高到低择优录取)']"
研考成考,成人高考,考试篇,问：成人高考准考证哪里下载？什么时候可以下载？答：考生可以在规定时间内登录“上海招考热线”网站（www.shmeea.edu.cn）—首页—报名考试栏目选择对应链接下载准考证。注：2023年成考准考证下载时间在10月13日-10月20日每天9:00-22:00，10月21日-10月22日每天7:00-22:00。,"['(成人高校招生考试, 需要, 准考证)', '(成人高考准考证, 下载网站, 上海招考热线网站)']"
研考成考,成人高考,考试篇,问：成人高考考试中有哪些考场规则和注意事项？答：考生可在“上海招考热线”网站查看考场规则，“上海招考热线”—首页—研考成考—成人高校招生考试栏目“20XX年上海市成人高校招生统一考试考前提醒”公告内附件《20XX年上海市成人高校招生统一考试考场规则》《20XX 年上海市成人高校招生统一考试考生答题注意事项》。请所有考生务必在考前仔细阅读上述考场规则与注意事项，避免在考试期间出现违规行为。,[]
研考成考,成人高考,考试篇,问：考生如果迟到了，最晚什么时候可以进入考场？答：考生迟到15分钟后，不准进入考点参加当次科目考试；交卷出场时间不得早于每科目考试结束前30分钟。,"['(考生迟到15分钟后, 不准进入, 考点参加当次科目考试)', '(考生_交卷出场时间, 不得早于, 每科目考试结束前30分钟)']"
研考成考,成人高考,考试篇,问：考生身份证遗失如何进入考点？答：本人有效证件原件含：居民身份证（含有效期内的临时身份证）、有照片的社保卡、驾驶证、护照、军人证或公安部门开具带照片的临时身份证明。电子身份证不作为考试入场有效证件使用。,"['(居民身份证, 属于, 考试入场有效证件)', '(有照片的社保卡, 属于, 考试入场有效证件)', '(驾驶证, 可作为, 考试入场有效证件)', '(护照, 属于, 考试入场有效证件原件)', '(军人证, 是, 考试入场有效证件)', '(公安部门开具带照片的临时身份证明, 属于, 考试入场有效证件)', '(电子身份证, 不作为, 考试入场有效证件)']"
研考成考,成人高考,考试篇,问：成人高考的数学考试可以携带计算器吗？答：成人高考考试只有高起本、高起专数学科目考试可以携带除电子存储记忆功能、收发信息功能、图像显示功能以外的计算器,[]
研考成考,成人高考,考试篇,问：考试现场没有钟表，考生可以自己带手表进入考场吗？答：见秋考93问——严禁携带手机、智能手表、智能手环、蓝牙耳机等通讯工具进入考点。,"['(考生,禁止携带,手机、智能手表、智能手环、蓝牙耳机等通讯工具)']"
研考成考,成人高考,考试篇,问：申请合理便利的残疾考生所携带的助听器、人工耳蜗、拐杖、轮椅等可正常通过安检吗？答：见秋考94问——可以。,"['(申请合理便利的残疾考生, 允许携带, 助听器、人工耳蜗、拐杖、轮椅)']"
