部分,考试类型,问题类型,问答对,筛选后三元组
证书考试,全国中小学教师资格考试笔试,结果篇,问：报名时重复缴费了怎么办？答：记录下报名网站系统所显示的交易订单号，以便日后用于核对和查询退款。重复缴纳的费用，教育部教育考试院将在考后一个月内原路退回支付账户。,[]
证书考试,全国中小学教师资格考试笔试,结果篇,问：报名考试缴费后如何申请发票？答：请考生在英语四六级考试报名后的3个月后，用考生自己的账号在“随申办”进行下载打印报名费发票。,[]
证书考试,全国中小学教师资格考试笔试,结果篇,问：考生已经取得四级、六级英语考试成绩合格。在四级考试时存在未被举报的违纪行为（如提前翻阅题目）。如他人进行举报考点核实后，是否会取消考生四六级成绩？答：会。,"['(考生, 参加, 四级)', '(考生, 取得合格成绩, 六级考试)', '(违纪行为, 包括, 提前翻阅题目)', '(举报, 触发, 考点核实)']"
证书考试,全国中小学教师资格考试笔试,报名篇,问：考生报考中小学教师资格考试有户籍或者身份要求吗？（报考对象）答：（1）申请幼儿园、小学、初级中学、高级中学、中等职业学校教师资格和中等职业学校实习指导教师资格（简称教资考）的考生需有本市户籍或持有本市居住证且在有效期内的居民、在本市学习、工作和生活的港澳台居民。（2）根据《教育部关于推进师范生免试认定中小学教师资格改革的通知》（教师函〔2022〕1号）文件精神，参加免试认定改革的高校教育类研究生、师范生，可参加学校组织的教育教学能力考核，也可自愿参加国家中小学教师资格考试。考生是否符合教育部规定的免试政策，可以向本人所在学校咨询。考生可根据自身情况自行决定是否报考全国统一举办的中小学教师资格考试。,"['(全国中小学教师资格考试笔试, 简称, 教资考)', '(教育部, 发布, 教育部关于推进师范生免试认定中小学教师资格改革的通知)', '(教育类研究生, 可参加, 学校组织的教育教学能力考核)', '(师范生, 可参加, 学校组织的教育教学能力考核)', '(教育类研究生, 可自愿参加, 全国中小学教师资格考试笔试)', '(师范生, 可自愿参加, 全国中小学教师资格考试笔试)', '(教育部关于推进师范生免试认定中小学教师资格改革的通知, 推进, 免试认定改革)', '(教资考, 要求, 本市常住户口)', '(全国中小学教师资格考试笔试, 报考条件, 本市户籍或居住证)', '(幼儿园教师资格, 属于, 教资考)', '(小学教师资格考试, 属于, 教资考)', '(初级中学教师资格, 需通过考试, 教资考)', '(高级中学教师资格, 属于, 教资考)', '(中等职业学校教师资格, 考试目标, 教资考)', '(中等职业学校实习指导教师资格, 属于考试类别, 全国中小学教师资格考试笔试)', '(免试政策, 依据, 教育部关于推进师范生免试认定中小学教师资格改革的通知)', '(学校, 组织, 教育教学能力考核)']"
证书考试,全国中小学教师资格考试笔试,报名篇,问：哪些人员不能报名参加教师资格考试？答：被撤销教师资格的，5年内不得报名参加考试；受到剥夺政治权利，或故意犯罪受到有期徒刑以上刑事处罚的，不得报名参加考试。曾参加教师资格考试有作弊行为的，按照《国家教育考试违规处理办法》（中华人民共和国教育部令第33号）相关规定执行。,"['(被撤销教师资格的人员, 禁止参加期限, 5年内不得报名参加考试)', '(受到剥夺政治权利, 不符合报名条件, 全国中小学教师资格考试笔试)', '(故意犯罪受到有期徒刑以上刑事处罚, 禁止报名参加, 全国中小学教师资格考试笔试)']"
证书考试,全国中小学教师资格考试笔试,报名篇,问：如何查询笔试和面试有关政策与要求的详细内容？答：有关笔试的政策与具体要求，可登录上海市教育考试院“上海招考热线”网站（http//:www.shmeea.edu.cn）查询；有关面试的政策与具体要求及教师资格认定，可登录上海市教师教育学院主办的上海教育人才网（https://shehr.shec.edu.cn/）查询。,[]
证书考试,全国中小学教师资格考试笔试,报名篇,问：如何了解中小学教师资格考试面试政策？答：中小学教师资格考试面试工作由市教师教育学院负责，咨询电话62523036。查询有关面试的政策与具体要求及教师资格认定，可登录上海市教师教育学院主办的上海教育人才网（https://shehr.shec.edu.cn/）。,"['(上海市教师教育学院, 负责, 中小学教师资格考试面试)', '(市教师教育学院, 咨询电话, 62523036)', '(上海市教师教育学院, 主办, 上海教育人才网)']"
证书考试,全国中小学教师资格考试笔试,报名篇,问：在沪部队的军官或者士兵能否报考中小学教师资格考试？答：可以，提供有效期内的二代身份证或者军人证原件及复印件以及团级以上政治部门开具驻地在沪的证明即可。,"['(全国中小学教师资格考试笔试, 需要, 驻地在沪的证明)', '(全国中小学教师资格考试笔试, 需要, 身份证或军人证复印件)', '(团级以上政治部门, 开具, 驻地在沪的证明)', '(在沪部队军官或士兵, 允许报考, 全国中小学教师资格考试笔试)', '(在沪部队士兵, 允许报考, 全国中小学教师资格考试笔试)']"
证书考试,全国中小学教师资格考试笔试,报名篇,"问：未拿到上海市居住证,持有居住证通知单能否报名？    答：不可以。按照报考公告中的要求，考生须持有上海市居住证且在有效期内。",[]
证书考试,全国中小学教师资格考试笔试,报名篇,问：居住证目前还没有办下来，可以先报名参加教师资格考试吗？答：在上海考区报名参加考试的考生，如果是非在校生，必须具有上海市户籍，或者持有在有效期内的上海市居住证，建议您在报名考试之前提前办理好居住证或者到户籍所在地报考。,[]
证书考试,全国中小学教师资格考试笔试,报名篇,问：上海市中小学教师资格考试笔试考试对象和报考条件？答：考试对象如下：申请幼儿园、小学、初级中学、高级中学、中等职业学校教师资格和中等职业学校实习指导教师资格的本市户籍或持有本市居住证且在有效期内的居民、在本市学习、工作和生活的港澳台居民。根据《教育部关于推进师范生免试认定中小学教师资格改革的通知》（教师函〔2022〕1号）文件精神，参加免试认定改革的高校教育类研究生、师范生，可参加学校组织的教育教学能力考核，也可自愿参加国家中小学教师资格考试。考生是否符合教育部规定的免试政策，可以向本人所在学校咨询。考生可根据自身情况自行决定是否报考全国统一举办的中小学教师资格考试，一经审核确认并完成缴费，概不退费。报考条件如下：（1）报考幼儿园和小学教师资格，应当具备大学专科毕业及以上学历。（2）报考初中教师资格，应当具备大学本科毕业及以上学历。（3）报考高级中学和中等职业学校教师资格，应当具备大学本科毕业及以上学历。（4）报考中等职业学校实习指导教师资格，应当具备中等职业学校毕业及以上学历，并应当具有相当助理工程师以上专业技术职务或中级以上工人技术等级。（5）上海市普通高等院校以及户籍在上海的外地普通高等院校全日制三年级（含在读专升本第四学年）及以上考生和全日制在读研究生，中高职贯通考生允许在其学习的最后一年，凭学校学籍管理部门出具的在籍学习证明或学信网上学籍报告报考。（6）符合申请认定教师资格的体检标准。（7）中小学教师资格考试有关政策规定详见《中小学教师资格考试暂行办法》（教师〔2013〕9号）和《教师资格条例》（教育部令第10号）。中小学教师资格证的认定除笔试成绩合格外，还需符合相应的学历层次、部分资格认定还需具备专业技术资格或等级、满足体检标准等，因此请考生在报考前详细了解本人拟申请认定教师资格所在地的认定条件，谨慎报考。,"['(报考幼儿园和小学教师资格, 学历要求, 大学专科毕业及以上学历)', '(中等职业学校实习指导教师资格报考条件, 学历要求, 中等职业学校毕业及以上学历)', '(中等职业学校实习指导教师资格, 需要具备, 相当助理工程师以上专业技术职务)', '(中等职业学校实习指导教师资格, 需要具备资格, 助理工程师以上专业技术职务或中级以上工人技术等级)', '(中小学教师资格认定, 政策依据, 中小学教师资格考试暂行办法)', '(中小学教师资格认定, 依据, 教师资格条例)', '(上海市普通高等院校全日制三年级及以上考生, 需提供材料, 学信网上学籍报告)', '(教育类研究生, 可参加, 学校组织的教育教学能力考核)']"
证书考试,全国中小学教师资格考试笔试,报名篇,问：看到报名条件有说上海市普通高等院校以及户籍在上海的外地普通高等院校全日制三年级（含在读专升本第四学年）及以上考生和全日制在读研究生。考生通过成人高考考入高校第三年，成人教育是否可以报考教资考笔试？答：自学考试/成人教育/网络教育/境外教育在读生不能报考教师资格考试，必须取得相应学历证书后才能报考。,"['(全国中小学教师资格考试笔试, 报考需取得, 学历证书)', '(教资考笔试, 别名, 全国中小学教师资格考试笔试)']"
证书考试,全国中小学教师资格考试笔试,报名篇,问：师范类学生是否需要参加教师资格考试？答：根据《教育部关于推进师范生免试认定中小学教师资格改革的通知》（教师函〔2022〕1号）文件精神，参加免试认定改革的高校教育类研究生、师范生，可参加学校组织的教育教学能力考核，也可自愿参加国家中小学教师资格考试。考生是否符合教育部规定的免试政策，可以向本人所在学校咨询。,"['(教育部, 发布, 教育部关于推进师范生免试认定中小学教师资格改革的通知)', '(教育类研究生, 被纳入, 免试认定改革)', '(教育类研究生及师范生, 适用政策, 师范生免试认定中小学教师资格改革)', '(免试认定改革, 允许参加, 学校组织的教育教学能力考核)', '(教育部, 规定, 免试政策)', '(学校, 组织, 教育教学能力考核)']"
证书考试,全国中小学教师资格考试笔试,报名篇,问：教资考只要笔试通过了就可以获得教师资格吗？答：符合考试条件的人员，可以报名参加考试；考试分笔试和面试两部分。笔试通过人员，可以报名参加面试；面试通过，并符合认定申请条件人员，可以申请教师资格认定。,[]
证书考试,全国中小学教师资格考试笔试,报名篇,问：面试的要求和政策规定也是考试院负责吗？答：有关面试的政策与具体要求及教师资格认定，可登录上海市教师教育学院主办的上海教育人才网（https://shehr.shec.edu.cn/）查询。咨询电话：62523036。,"['(上海市教师教育学院, 主办, 上海教育人才网)', '(上海教育人才网, 提供, 面试的政策与具体要求及教师资格认定信息)', '(上海教育人才网, 提供, 面试政策及具体要求)', '(上海教育人才网, 可查询, 教师资格认定政策与要求)']"
证书考试,全国中小学教师资格考试笔试,报名篇,问：怎么确认自己专业属于师范类？答：请考生向自己所在高校进行确认。,[]
证书考试,全国中小学教师资格考试笔试,报名篇,问：报名时填报的科目代码是什么？答：考生可以通过“上海招考热线”网站（www.shmeea.edu.cn）首页—证书考试—全国中小学教师资格考试笔试栏目内发布的“20XX年上半年/下半年中小学教师资格考试（笔试）上海考区报名公告 ”内附件《20XX年上半年/下半年中小学教师资格考试（笔试）科目代码列表》查看代码信息。,"['(全国中小学教师资格考试笔试, 属于, 证书考试)']"
证书考试,全国中小学教师资格考试笔试,报名篇,问：中小学教师资格考试笔试如何报名？答：报名分考生网上信息输入、报名信息确认和网上缴费三个阶段。考生在报名期间登录中小学教师资格考试网站（http://ntce.neea.edu.cn）需首先进行注册。所有考生（含以前参加过中小学教师资格考试的考生）报名前均需注册，已参加过中小学教师资格考试的考生注册操作不影响已获得的成绩。注册时要求考生填写姓名、身份证号等信息。然后按照流程填写个人信息、上传电子照片。考生根据本人情况选择考区和考试科目。考生报名信息先由各考区进行网上智能审核（考生填报信息与市大数据中心查询的户籍、居住证、学籍信息做一致性判定），在此期间考生可自行登录报名网站，若显示“待缴费”，表明考生符合报考条件通过了资格审核；若显示“审核不通过”，表明考生填报信息与市大数据中心查询的信息不一致，智能审核未通过。如果“审核不通过”的考生认为自己符合报考要求（如近期内才取得上海市居住证等），须登入中小学教师资格考试官网（http://ntce.neea.edu.cn/）再次提交报名信息后，进入待审核状态，再扫描报名公告中二维码登录“中小学教师资格考试（笔试）报名审核资料提交系统”在线提交相关证明材料。各区和直属高校考区和将根据考生填报的报考信息结合上传的证明材料进行人工审核，请考生及时关注报名网站中的审核状态。如人工审核不通过，考生可重新提交材料，每位考生最多提交三次。考生的报名信息确认审核通过即报名网站中显示“待缴费”，考生可在缴费截止日前自行登录中小学教师资格考试网完成网上缴费，缴费完成后即为报名成功。逾期未在网上缴费者本次报名无效。,"['(考生, 需完成, 网上信息输入)', '(考生, 需完成, 报名确认)', '(考生报名流程, 需完成阶段, 网上缴费)', '(考生, 访问, 中小学教师资格考试报名网站)', '(注册, 需要填写, 身份证号码)', '(考生, 填写, 个人信息)', '(考生, 上传, 电子照片)', '(考生, 选择, 考区)', '(考生, 选择, 考试科目)', '(网上智能审核, 数据比对来源, 市大数据中心)', '(市大数据中心, 查询, 户籍)', '(市大数据中心, 查询, 居住证)', '(中小学教师资格考试笔试报名审核通过状态, 显示状态为, 待缴费)', '(审核不通过的考生, 需提交, 相关证明材料)', '(区和直属高校考区, 执行, 人工审核)', '(报名成功, 前提条件, 网上缴费)', '(逾期未在网上缴费者, 导致, 报名无效)']"
证书考试,全国中小学教师资格考试笔试,报名篇,问：中小学教师资格考试笔试报名时间答：教资考每年举行两次，详细时间请关注“上海招考热线”网站（www.shmeea.edu.cn）首页—证书考试—全国中小学教师资格考试笔试栏目内发布的“20XX年上半年/下半年中小学教师资格考试（笔试）上海考区报名公告 ”注：2023年上半年于3月11日、下半年9月16日。,"['(全国中小学教师资格考试笔试, 发布报名信息渠道, 上海市教育考试院报名网站)', '(上海招考热线网站, 发布, 全国中小学教师资格考试笔试上海考区报名公告)', '(全国中小学教师资格考试笔试, 包含考区, 上海考区)', '(2023年上半年, 考试日期, 3月11日)', '(2023年下半年全国中小学教师资格考试笔试, 考试日期, 9月16日)']"
证书考试,全国中小学教师资格考试笔试,报名篇,问：学信网上查不到学籍报告怎么办？答：请在中小学教师资格考试报名网站上如实填写您的学籍情况。考生本人需对填报信息的真实性、准确性负责，并承担相应后果。下半年入学新生网上没有学信网信息，考生可以在规定时间内上传录取通知书作为审核依据。,"['(报名篇, 属于, 全国中小学教师资格考试笔试)', '(学籍报告, 查询于, 学信网)', '(中小学教师资格考试报名网站, 用于, 填报学籍信息)', '(考生, 需负责, 填报信息的真实性和准确性)', '(下半年入学新生, 上传, 录取通知书)', '(录取通知书, 用作, 审核依据)']"
证书考试,全国中小学教师资格考试笔试,报名篇,问：报名过程中选错考区，系统显示考生信息“待审核”，如何重新报考？答：考生可以先取消报考学科，再重新选择考区进行报考。,"['(考生信息, 状态, 待审核)', '(报名, 需先取消, 报考学科)']"
证书考试,全国中小学教师资格考试笔试,报名篇,问：报名审核已通过或已经缴费成功，还可以修改考区、考试科目等报名信息吗？答：不可以。请考生在报名时，认真逐项核对信息内容，因录入信息错误而造成的后果，由考生本人承担。,"['(全国中小学教师资格考试笔试, 包含步骤, 缴费)', '(报名审核已通过或缴费成功, 不可修改, 考区)', '(报名信息, 包含, 考区)', '(报名信息, 包含, 考试科目)', '(考生, 核对, 报名信息)']"
证书考试,全国中小学教师资格考试笔试,报名篇,问：笔试报名需要现场审核吗？答：上海市实行笔试报名信息网上智能审核确认，考生无需到现场审核，请在报名公告中规定时间重新登录网站查询审核结果，如审核通过，可按规定时间办理缴费手续。如审核未通过，请按未通过的原因修改并重新提交报名信息，等待再次审核。,[]
证书考试,全国中小学教师资格考试笔试,报名篇,问：教资考有补报名？错过了审核、缴费时间怎么办？答：教资考没有补报名，逾期视作自动放弃报名。,"['(教资考, 全称, 全国中小学教师资格考试笔试)', '(全国中小学教师资格考试笔试, 不提供, 补报名)', '(逾期, 视作, 自动放弃报名)', '(全国中小学教师资格考试笔试, 需完成, 审核)']"
证书考试,全国中小学教师资格考试笔试,报名篇,问：笔试与其他考试时间冲突，我可以要求更改考试时间段吗？答：不可以。中小学教师资格考试为全国统一考试，考试时间不可随意变更。如与考生报考的其他考试时间发生冲突，请考生自主选择，责任自负。,"['(全国中小学教师资格考试笔试, 属于, 全国统一考试)', '(全国中小学教师资格考试笔试, 属于, 全国中小学教师资格考试笔试)']"
证书考试,全国中小学教师资格考试笔试,报名篇,问：报名后不想参加考试可以退费吗？答：缴费成功后报名系统不支持费用退还。,[]
证书考试,全国中小学教师资格考试笔试,报名篇,问：我的姓名改了，怎么更改教师资格考试身份信息？答：考生考试期间出现更名的情况，由本人书面申请，带身份证、户口簿原件，在上海市教育考试院规定接待时间（周二下午1:30-4:00 周五上午9:00—11:00，国定节假日除外）进行登记，市教育考试院核实情况后上报教育部教育考试院统一变更。,"['(考生, 需提交, 书面申请)', '(书面申请, 需携带, 居民身份证)', '(上海教育考试院, 规定, 接待时间)', '(身份信息变更登记, 办理机构, 上海教育考试院)', '(考生, 需登记, 更名情况)', '(上海教育考试院, 上报, 教育考试院)', '(教育考试院, 统一变更, 考生身份信息)']"
证书考试,全国中小学教师资格考试笔试,考试篇,问：中小学教师资格考试的命题依据是什么？有无官方指定教材？答：中小学教师资格考试的命题依据是国家制定的中小学教师资格考试标准和考试大纲，笔试面试不指定考试用参考教材。考生可自行登录中小学教师资格考试网（http://ntce.neea.edu.cn）网页上方“资料下载”模块选择“考试标准”“笔试大纲”“面试大纲”。,"['(全国中小学教师资格考试笔试, 命题依据, 中小学教师资格考试标准和考试大纲)', '(全国中小学教师资格考试笔试, 命题依据, 中小学教师资格考试标准和考试大纲)', '(全国中小学教师资格考试笔试, 不指定, 考试用参考教材)', '(全国中小学教师资格考试笔试, 包含, 全国中小学教师资格考试笔试)', '(中小学教师资格考试报名网站, 包含模块, 资料下载)', '(资料下载, 提供, 考试标准)', '(资料下载模块, 提供, 笔试大纲)', '(中小学教师资格考试网资料下载模块, 提供, 面试大纲)', '(考试大纲, 包含, 笔试大纲)']"
证书考试,全国中小学教师资格考试笔试,考试篇,问：中小学教师资格考试采用什么考试方式？答：考试分为笔试和面试两部分。笔试采用纸笔考试方式进行。具体考试方式将根据教育部教育考试院统一部署执行。面试采用结构化面试、情景模拟等方式进行，考生通过抽题、备课、试讲、答辩等环节，完成面试。笔试各科目考试时间为120分钟，面试考试时间为20分钟。,"['(全国中小学教师资格考试笔试, 包含, 笔试)', '(全国中小学教师资格考试笔试, 包含, 面试)', '(笔试, 采用, 纸笔考试方式)', '(中小学教师资格考试面试, 采用, 结构化面试)', '(面试, 采用, 情景模拟)', '(面试, 包含环节, 抽题)', '(面试, 包含环节, 备课)', '(面试, 包含环节, 试讲)', '(面试, 包含环节, 答辩)', '(全国中小学教师资格考试笔试, 各科目考试时长, 120分钟)', '(面试, 考试时间, 20分钟)', '(教育考试院, 部署, 笔试考试方式)', '(笔试, 考试时间, 120分钟)', '(面试, 考试时间, 20分钟)']"
证书考试,全国中小学教师资格考试笔试,考试篇,问：中小学教师资格考试笔试部分主要考核什么内容？答：笔试主要考核申请人从事教师职业所应具备的教育理念、职业道德和教育法律法规知识；科学文化素养和阅读理解、语言表达、逻辑推理和信息处理等基本能力；教育教学、学生指导和班级管理的基本知识；拟任教学科（专业）领域的基本知识，教学设计、实施、评价的知识和方法，运用所学知识分析和解决教育教学实际问题的能力。,"['(全国中小学教师资格考试笔试, 考核, 教育理念)', '(全国中小学教师资格考试笔试, 考核, 职业道德)', '(全国中小学教师资格考试笔试, 考核, 教育法律法规知识)', '(全国中小学教师资格考试笔试, 考核, 科学文化素养)', '(全国中小学教师资格考试笔试, 考核, 阅读理解能力)', '(全国中小学教师资格考试笔试, 考核, 语言表达能力)', '(全国中小学教师资格考试笔试, 考核, 逻辑推理)', '(全国中小学教师资格考试笔试, 考核, 信息处理能力)', '(全国中小学教师资格考试笔试, 考核, 教育教学的基本知识)', '(全国中小学教师资格考试笔试, 考核, 学生指导)', '(全国中小学教师资格考试笔试, 考核, 班级管理的基本知识)', '(全国中小学教师资格考试笔试, 考核, 评价的知识和方法)', '(全国中小学教师资格考试笔试, 考核, 分析和解决教育教学实际问题能力)']"
证书考试,全国中小学教师资格考试笔试,考试篇,问：中小学教师资格考试面试主要考核什么内容？答：面试主要考核申请人的职业道德、心理素质、仪表仪态、言语表达、思维品质等教师基本素养和教学设计、教学实施、教学评价等教学基本技能。根据上海市基础教育发展需要和教师队伍实际情况，适时在不同的教师资格种类中，增加相应的面试内容。中职专业课和中职实习指导教师资格以及初中、高中、中职文化课教师资格中的心理健康教育、日语、俄语三门学科，面试中先进行30分钟科目考试（考试形式为机考），然后再进行下一环节20分钟备课，科目考试题由通试题（20道）和专业题（30道）共50道题构成，题型全为单一选择题。科目考试成绩按30%计入面试总成绩。,[]
证书考试,全国中小学教师资格考试笔试,考试篇,问：“综合素质”主要考查哪些知识和能力？答：职业理念、教育法律法规、教师职业道德规范、文化素养和基本能力。,"['(全国中小学教师资格考试笔试, 包含, 综合素质)', '(综合素质, 考查, 职业理念)', '(综合素质, 考查, 教育法律法规)', '(综合素质, 考查, 教师职业道德规范)', '(综合素质, 考查, 文化素养)', '(综合素质, 考查, 基本能力)']"
